,number,fitness (opposite of the  mean episode reward),params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_log_std_init,params_lr,params_net_arch,params_target_entropy,params_tau,params_train_freq,system_attrs__number,state
497,497,-98.173942565918,32,10000,0.1,0.9999,-1.59545621038013,0.001917697214463,medium,,0.02,64,497,COMPLETE
496,496,-98.0117797851563,32,10000,0.1,0.9999,-1.61564231792119,0.001881416649872,medium,,0.02,64,496,COMPLETE
494,494,-97.8770141601563,32,10000,0.1,0.9999,-1.62967803854085,0.001816261557866,medium,,0.02,64,494,COMPLETE
474,474,-97.6412734985352,32,10000,0.1,0.9999,-1.89994101876146,0.001228919237742,medium,,0.02,64,474,COMPLETE
471,471,-97.4474105834961,32,10000,0.1,0.9999,-1.64736890474631,0.000438657845447,medium,,0.02,64,471,COMPLETE
489,489,-97.1600112915039,32,10000,0.1,0.9999,-1.61192310812435,0.001982997236991,medium,,0.02,64,489,COMPLETE
242,242,-97.1262664794922,512,10000,0.1,0.9999,-2.39259074418103,0.000845234319718,medium,,0.01,32,242,COMPLETE
357,357,-97.0838241577149,512,10000,0.1,0.9999,-2.49709469286859,0.001024031969022,medium,,0.02,16,357,COMPLETE
275,275,-97.0789794921875,512,10000,auto,0.9999,-2.48523943343647,0.0021357519374,medium,0.014566849999496,0.02,32,275,COMPLETE
440,440,-97.0338439941406,32,10000,0.1,0.9999,-2.21060581773929,0.00090074273515,medium,,0.02,64,440,COMPLETE
352,352,-96.9333801269531,512,10000,0.1,0.9999,-2.45661671192427,0.001444528425839,medium,,0.02,16,352,COMPLETE
270,270,-96.911376953125,512,10000,auto,0.9999,-2.0868105738763,0.00320295236601,medium,0.079656533096511,0.02,32,270,COMPLETE
495,495,-96.8934555053711,32,10000,0.1,0.9999,-1.67245560139617,0.002218725028135,medium,,0.02,64,495,COMPLETE
243,243,-96.8784942626953,512,10000,0.1,0.9999,-2.07188921734776,0.000330656069137,medium,,0.02,32,243,COMPLETE
434,434,-96.8772048950195,512,10000,0.1,0.9999,-2.44414123092731,0.001007829538281,medium,,0.02,32,434,COMPLETE
376,376,-96.8768463134766,512,10000,0.1,0.9999,-2.32758386551933,0.000577882985253,medium,,0.02,16,376,COMPLETE
452,452,-96.8420562744141,512,10000,0.1,0.9999,-2.07065257323827,0.000834902853955,medium,,0.02,64,452,COMPLETE
228,228,-96.8373718261719,512,10000,0.1,0.9999,-2.47749196358293,0.00048767598609,medium,,0.01,32,228,COMPLETE
219,219,-96.829345703125,512,10000,0.1,0.9999,-2.37488547415264,0.000526257196981,medium,,0.01,32,219,COMPLETE
217,217,-96.8148574829102,512,10000,0.1,0.9999,-2.64888150321956,0.000688245625338,medium,,0.01,32,217,COMPLETE
85,85,-96.8056564331055,64,1000000,0.5,0.9999,-2.61482059357023,0.007873587540333,small,,0.005,32,85,COMPLETE
442,442,-96.7905654907227,512,10000,0.1,0.9999,-2.21609869620353,0.001069424743608,medium,,0.02,32,442,COMPLETE
458,458,-96.7863693237305,32,10000,0.1,0.9999,-1.8368166120018,0.000541686032399,medium,,0.02,64,458,COMPLETE
254,254,-96.7861709594727,512,10000,0.1,0.9999,-1.93630265827418,0.000193525669643,medium,,0.02,32,254,COMPLETE
342,342,-96.7628936767578,512,10000,0.1,0.9999,-2.6904314599043,0.001517397883863,medium,,0.02,32,342,COMPLETE
429,429,-96.7565612792969,512,10000,0.1,0.9999,-2.21877314741424,0.000660698847555,medium,,0.02,32,429,COMPLETE
488,488,-96.7508316040039,32,10000,0.1,0.9999,-1.53224223660042,0.000867451776459,medium,,0.02,64,488,COMPLETE
453,453,-96.7498321533203,32,10000,0.1,0.9999,-1.83589162719372,0.000787834156063,medium,,0.02,64,453,COMPLETE
204,204,-96.7355270385742,512,10000,0.1,0.9999,-3.600711826649,0.000718268600028,medium,,0.01,32,204,COMPLETE
334,334,-96.7302703857422,512,10000,0.1,0.9999,-2.69058011412892,0.001994653283427,medium,,0.02,32,334,COMPLETE
419,419,-96.7266311645508,512,10000,0.1,0.9999,-2.33655027803318,0.000724313016058,medium,,0.02,16,419,COMPLETE
486,486,-96.7173690795898,128,10000,0.1,0.9999,-2.01371052115204,0.000848051406168,medium,,0.02,64,486,COMPLETE
448,448,-96.6947937011719,512,10000,0.1,0.9999,-2.47436970003075,0.000561125779196,medium,,0.02,32,448,COMPLETE
225,225,-96.6793441772461,512,10000,0.1,0.9999,-2.66555663765993,0.000646066725069,medium,,0.01,32,225,COMPLETE
373,373,-96.6748199462891,512,10000,0.1,0.9999,-2.36781574483771,0.000608196599506,medium,,0.02,16,373,COMPLETE
380,380,-96.6590118408203,512,10000,0.1,0.9999,-2.23962069381312,0.000648382574646,medium,,0.02,16,380,COMPLETE
203,203,-96.6433868408203,512,10000,0.1,0.9999,-3.71764891455258,0.000663096420926,medium,,0.01,32,203,COMPLETE
455,455,-96.6321029663086,512,10000,0.1,0.9999,-2.09269447235164,0.00079702187227,medium,,0.02,64,455,COMPLETE
493,493,-96.6274185180664,32,10000,0.1,0.9999,-1.83259944730354,0.0020858403826,medium,,0.02,64,493,COMPLETE
461,461,-96.6204528808594,32,10000,0.1,0.9999,-1.93368047671327,0.00109805894415,medium,,0.02,64,461,COMPLETE
361,361,-96.6139068603516,512,10000,0.1,0.9999,-2.34996716108885,0.000793537940363,medium,,0.02,32,361,COMPLETE
88,88,-96.6111907958984,64,1000000,0.1,0.9999,-2.55439884772583,0.001666760905205,big,,0.005,32,88,COMPLETE
450,450,-96.6099090576172,512,10000,0.1,0.9999,-2.0580926991899,0.000755708764704,medium,,0.02,32,450,COMPLETE
482,482,-96.5951766967774,128,10000,0.1,0.9999,-1.76751720202091,0.000862420749095,medium,,0.02,64,482,COMPLETE
239,239,-96.5942001342773,512,10000,0.1,0.9999,-2.40332635363711,0.000309431684137,medium,,0.01,32,239,COMPLETE
337,337,-96.5877532958984,512,10000,0.1,0.9999,-2.33157959688148,0.000225153152448,medium,,0.02,32,337,COMPLETE
374,374,-96.5837097167969,512,10000,0.1,0.9999,-2.3602763764833,0.000539825195001,medium,,0.02,16,374,COMPLETE
201,201,-96.5804443359375,512,10000,0.1,0.9999,-2.89881906239541,0.001433883987997,small,,0.01,32,201,COMPLETE
389,389,-96.5740509033203,512,10000,0.1,0.9999,-2.15686100117371,0.000537219361885,medium,,0.02,16,389,COMPLETE
388,388,-96.5726318359375,512,10000,0.1,0.9999,-2.15117825581673,0.000446400876946,medium,,0.02,16,388,COMPLETE
339,339,-96.5700912475586,512,10000,0.1,0.9999,-2.7010735950973,0.000894619488919,medium,,0.02,32,339,COMPLETE
360,360,-96.5693435668945,512,10000,0.1,0.9999,-2.348968485545,0.000693545582088,medium,,0.02,32,360,COMPLETE
222,222,-96.5595474243164,512,10000,0.1,0.9999,-2.34792987838006,0.000585302688451,medium,,0.01,32,222,COMPLETE
447,447,-96.5554351806641,32,10000,0.1,0.9999,-2.05756757734587,0.000769925101166,medium,,0.02,32,447,COMPLETE
220,220,-96.5458526611328,512,10000,0.1,0.9999,-2.40040916555204,0.000577039577174,medium,,0.01,32,220,COMPLETE
113,113,-96.524543762207,64,1000000,0.1,0.9999,-3.48433847822662,0.002751606910299,big,,0.01,32,113,COMPLETE
381,381,-96.5048675537109,512,10000,0.1,0.9999,-2.32028591726918,0.000594273130506,medium,,0.02,16,381,COMPLETE
139,139,-96.5045623779297,64,1000000,0.1,0.9999,-3.3545128171704,0.001835829435381,small,,0.01,32,139,COMPLETE
241,241,-96.5042953491211,512,10000,0.1,0.9999,-2.41681579114231,0.000303840342869,medium,,0.01,32,241,COMPLETE
332,332,-96.5039672851563,512,10000,0.1,0.9999,-2.29890242820676,0.00193250680724,medium,,0.02,32,332,COMPLETE
200,200,-96.4918823242187,512,1000000,0.1,0.9999,-2.89316057865186,0.000654176128992,small,,0.01,32,200,COMPLETE
63,63,-96.4910659790039,512,1000000,0.1,0.9999,-3.67913290678115,0.002233983284987,small,,0.01,32,63,COMPLETE
395,395,-96.4859619140625,256,10000,0.1,0.999,-2.19794848831576,0.001370309713692,medium,,0.02,16,395,COMPLETE
382,382,-96.4845657348633,512,10000,0.1,0.9999,-2.14362495538742,0.000488303005414,medium,,0.02,16,382,COMPLETE
340,340,-96.4794998168945,256,10000,0.1,0.9999,-2.68921904595829,0.00148121118984,medium,,0.02,32,340,COMPLETE
118,118,-96.4726943969727,64,1000000,0.1,0.9999,-3.82924115360638,0.002472762563415,small,,0.01,32,118,COMPLETE
400,400,-96.4597091674805,512,10000,0.5,0.98,-2.45407518577602,0.001157704231972,medium,,0.02,16,400,COMPLETE
198,198,-96.4505767822266,64,1000000,0.1,0.9999,-3.11998809966292,0.001901486692598,small,,0.01,32,198,COMPLETE
435,435,-96.4457855224609,512,10000,0.1,0.9999,-2.20514395073926,0.000966851748827,medium,,0.02,64,435,COMPLETE
485,485,-96.4418792724609,512,10000,0.1,0.9999,-2.04280837689547,0.000863336591262,medium,,0.02,64,485,COMPLETE
253,253,-96.4172286987305,512,10000,0.1,0.9999,-2.07127013520877,0.000264302433621,medium,,0.02,32,253,COMPLETE
487,487,-96.3963241577148,128,10000,0.1,0.9999,-2.03795642093688,0.000867257814083,medium,,0.02,64,487,COMPLETE
433,433,-96.3833236694336,512,10000,auto,0.9999,-2.72887303141701,0.000976284972811,medium,-1.60965891256697,0.02,32,433,COMPLETE
190,190,-96.3772048950195,64,1000000,0.1,0.9999,-3.84125593609896,0.001005678498517,medium,,0.01,32,190,COMPLETE
309,309,-96.3703536987305,512,10000,0.1,0.9999,-2.10714699556464,0.006758817585436,medium,,0.005,32,309,COMPLETE
123,123,-96.3700714111328,64,1000000,0.1,0.9999,-3.8123834991992,0.000498107313255,big,,0.01,32,123,COMPLETE
252,252,-96.337760925293,512,10000,0.1,0.9999,-2.6030568879904,0.00019936613911,medium,,0.02,32,252,COMPLETE
249,249,-96.3331451416016,512,10000,0.1,0.9999,-2.10677930292402,0.00024960169012,medium,,0.01,32,249,COMPLETE
375,375,-96.328369140625,512,10000,0.1,0.9999,-2.31952267530604,0.000742779608673,medium,,0.02,16,375,COMPLETE
402,402,-96.319206237793,512,10000,0.5,0.98,-2.50557692183816,0.000319045331029,medium,,0.02,16,402,COMPLETE
460,460,-96.3134689331055,32,10000,0.1,0.9999,-2.11609980480835,0.000564103938565,medium,,0.02,64,460,COMPLETE
255,255,-96.30712890625,512,10000,0.1,0.9999,-1.98807967209304,0.000391715725053,medium,,0.01,32,255,COMPLETE
238,238,-96.3058090209961,512,10000,0.1,0.9999,-2.23271715904879,0.000391432433158,medium,,0.01,32,238,COMPLETE
49,49,-96.3052520751953,64,1000000,0.1,0.9999,-3.4066552947902,0.001126471641598,small,,0.01,32,49,COMPLETE
484,484,-96.2911834716797,128,10000,0.1,0.9999,-2.0450028867296,0.000862212686907,medium,,0.02,64,484,COMPLETE
78,78,-96.2790908813477,64,1000000,0.1,0.9999,-2.60973763505555,0.000703400930949,big,,0.005,32,78,COMPLETE
231,231,-96.2765960693359,512,10000,0.1,0.9999,-2.4438908874402,0.000454427215321,medium,,0.01,32,231,COMPLETE
119,119,-96.2714157104492,64,1000000,0.1,0.9999,-3.79250961204735,0.001107409004939,small,,0.01,32,119,COMPLETE
392,392,-96.2706756591797,256,10000,0.1,0.999,-2.00612267540433,0.015218106027567,medium,,0.02,16,392,COMPLETE
211,211,-96.2677001953125,512,10000,0.1,0.9999,-2.40326546350376,0.001302432214777,small,,0.01,32,211,COMPLETE
205,205,-96.2648696899414,512,10000,0.1,0.9999,-3.66835241546512,0.000660479034926,medium,,0.01,128,205,COMPLETE
256,256,-96.2586822509766,512,10000,0.1,0.9999,-1.97118594180009,0.000213175375269,medium,,0.02,32,256,COMPLETE
235,235,-96.2403793334961,512,10000,0.1,0.9999,-2.38441939305398,0.000775358441746,medium,,0.01,64,235,COMPLETE
215,215,-96.2402801513672,512,10000,0.1,0.9999,-2.67797536121386,0.000612268972146,medium,,0.01,32,215,COMPLETE
366,366,-96.2325057983398,512,10000,0.1,0.9999,-2.851595613135,0.00095436610853,medium,,0.02,32,366,COMPLETE
250,250,-96.2239608764648,512,10000,0.1,0.9999,-1.74710799135535,0.000216350207597,medium,,0.01,32,250,COMPLETE
415,415,-96.2203216552734,512,10000,0.1,0.9999,-2.58557893959409,0.00035471964889,medium,,0.02,8,415,COMPLETE
451,451,-96.1880111694336,512,10000,0.1,0.9999,-1.81424250449451,0.000792422200968,medium,,0.02,64,451,COMPLETE
229,229,-96.1815338134766,512,10000,0.1,0.9999,-2.29861152814858,0.000502456946747,medium,,0.01,32,229,COMPLETE
425,425,-96.1753540039063,512,10000,0.1,0.9999,-2.37714717692506,0.000636741754154,medium,,0.02,32,425,COMPLETE
298,298,-96.1692657470703,512,10000,0.1,0.9999,-2.57270829351491,0.000498757748442,medium,,0.02,32,298,COMPLETE
226,226,-96.1680755615234,512,10000,0.1,0.9999,-2.65264539589334,0.000465477302754,medium,,0.01,32,226,COMPLETE
173,173,-96.1608734130859,64,1000000,0.1,0.9999,-2.58802573851769,0.000618590374082,small,,0.01,32,173,COMPLETE
240,240,-96.1509094238281,512,10000,0.1,0.9999,-2.41982935516571,0.000340748942036,medium,,0.01,32,240,COMPLETE
251,251,-96.1490783691406,512,10000,0.1,0.9999,-2.11299522043455,0.000242653451161,medium,,0.01,32,251,COMPLETE
379,379,-96.1434707641602,512,10000,0.1,0.9999,-2.25011446704895,0.00080759362707,medium,,0.02,16,379,COMPLETE
56,56,-96.1335601806641,512,10000,0.1,0.95,-3.80208610120205,0.00028014827231,big,,0.01,32,56,COMPLETE
387,387,-96.1239852905274,512,10000,0.1,0.9999,-1.17515791101869,0.000499634915354,medium,,0.02,16,387,COMPLETE
