#{"t_start": 1624745613.0986662, "env_id": "PandaPickAndPlace-v1"}
r,l,t
-50.0,50,1.466899
-50.0,50,1.539327
-50.0,50,2.258115
-50.0,50,3.007998
-50.0,50,3.745721
-50.0,50,4.477405
-49.0,50,5.237098
-50.0,50,5.987086
-50.0,50,6.738456
-50.0,50,7.492551
-50.0,50,8.220526
-50.0,50,8.968248
-50.0,50,9.712283
-50.0,50,10.455664
-23.0,50,11.202497
-50.0,50,11.95226
-50.0,50,12.708432
-50.0,50,13.464461
-50.0,50,14.2271
-50.0,50,14.951439
-50.0,50,15.704389
-50.0,50,16.455906
-50.0,50,17.192107
-50.0,50,17.945628
-50.0,50,18.683494
-50.0,50,19.424916
-50.0,50,20.134246
-50.0,50,20.777102
-50.0,50,21.479051
-50.0,50,22.181092
-50.0,50,22.979829
-50.0,50,23.912463
-50.0,50,24.844379
-50.0,50,25.81345
-48.0,50,26.729751
-50.0,50,27.666846
-50.0,50,28.612386
-50.0,50,29.537377
-50.0,50,30.481334
-50.0,50,31.393215
-50.0,50,32.290195
-50.0,50,33.184409
-50.0,50,34.093074
-50.0,50,35.003464
-50.0,50,35.924405
-50.0,50,36.838945
-50.0,50,37.800766
-50.0,50,38.785604
-50.0,50,39.791474
-50.0,50,40.76808
-50.0,50,41.783867
-50.0,50,42.852174
-50.0,50,43.925964
-18.0,50,44.992347
-50.0,50,46.065238
-50.0,50,47.138374
-50.0,50,48.209448
-50.0,50,49.289458
-50.0,50,50.353904
0.0,50,51.437086
-50.0,50,52.52943
-50.0,50,53.590725
-50.0,50,54.658026
-50.0,50,55.728716
-50.0,50,56.797841
-50.0,50,57.863018
-50.0,50,58.940031
-50.0,50,60.011482
-50.0,50,61.079848
-50.0,50,62.173432
-50.0,50,63.224993
-50.0,50,64.337094
-50.0,50,65.552662
-50.0,50,66.883306
-50.0,50,68.227273
-50.0,50,69.592633
-50.0,50,70.956903
-50.0,50,72.297578
0.0,50,73.629968
-50.0,50,74.911694
0.0,50,76.252888
-50.0,50,77.574722
-50.0,50,78.906796
-50.0,50,80.235899
-50.0,50,81.576853
-50.0,50,82.914878
0.0,50,84.265815
-50.0,50,85.60475
-50.0,50,86.949556
-50.0,50,88.297961
-50.0,50,89.640314
-50.0,50,90.979208
-50.0,50,92.337821
-50.0,50,93.680432
-50.0,50,95.011657
-50.0,50,96.360189
-50.0,50,97.699425
0.0,50,99.036559
-50.0,50,100.380288
-50.0,50,101.725749
-50.0,50,103.084087
-50.0,50,104.443271
-50.0,50,105.792138
-50.0,50,107.137061
-50.0,50,108.475791
-50.0,50,109.810525
-50.0,50,111.154974
-50.0,50,112.498416
-50.0,50,113.844264
-50.0,50,115.175327
-50.0,50,116.505596
-50.0,50,117.845547
-50.0,50,119.152891
-50.0,50,120.481125
-50.0,50,121.806369
-50.0,50,123.136079
-50.0,50,124.473328
-50.0,50,125.816724
-50.0,50,127.153123
-50.0,50,128.500133
-50.0,50,129.857204
-50.0,50,131.195747
-50.0,50,132.533466
-50.0,50,133.866432
-50.0,50,135.199385
-50.0,50,136.525575
-50.0,50,137.856287
-50.0,50,139.165876
-50.0,50,140.502949
-50.0,50,141.828379
-50.0,50,143.12654
-50.0,50,144.46578
-50.0,50,145.799698
-50.0,50,147.135188
-50.0,50,148.47035
-50.0,50,149.823114
-50.0,50,151.172847
-50.0,50,152.513705
-50.0,50,153.842219
-50.0,50,155.190997
0.0,50,156.546364
-50.0,50,157.893679
-50.0,50,159.241102
-50.0,50,160.586544
-50.0,50,161.92973
-50.0,50,163.273463
-50.0,50,164.614186
-50.0,50,165.953535
-50.0,50,167.29621
-50.0,50,168.639052
-50.0,50,170.011753
0.0,50,171.346331
-50.0,50,172.680393
-50.0,50,174.03176
-50.0,50,175.372576
-50.0,50,176.714544
-50.0,50,178.054086
-50.0,50,179.39671
-50.0,50,180.737804
-50.0,50,182.06043
-50.0,50,183.379977
-50.0,50,184.70739
-50.0,50,186.052202
-50.0,50,187.400243
-50.0,50,188.743835
-50.0,50,190.091511
-50.0,50,191.438166
-50.0,50,192.778639
-50.0,50,194.124147
-50.0,50,195.471755
