#{"t_start": 1624740703.3736534, "env_id": "PandaPush-v1"}
r,l,t
-50.0,50,1.45573
-50.0,50,1.522735
-50.0,50,2.092916
0.0,50,2.637162
-50.0,50,3.196604
-50.0,50,3.737339
-24.0,50,4.267738
-50.0,50,4.814479
-50.0,50,5.359189
-50.0,50,5.90622
-50.0,50,6.453335
-50.0,50,7.001607
-50.0,50,7.524008
-50.0,50,8.05124
-50.0,50,8.585602
-50.0,50,9.132512
-50.0,50,9.656422
-50.0,50,10.187344
-50.0,50,10.715932
-50.0,50,11.255236
-50.0,50,11.794433
-50.0,50,12.321729
-50.0,50,12.85598
-50.0,50,13.376653
-50.0,50,13.908386
-50.0,50,14.464333
-50.0,50,15.000964
-50.0,50,15.539835
-50.0,50,16.069655
-50.0,50,16.616311
-50.0,50,17.169054
-50.0,50,17.721177
0.0,50,18.274374
-50.0,50,18.829992
-50.0,50,19.372112
-50.0,50,19.911011
-50.0,50,20.449715
-50.0,50,20.995028
-50.0,50,21.525417
-50.0,50,22.066364
-50.0,50,22.621238
-50.0,50,23.15983
-50.0,50,23.698629
-50.0,50,24.229846
-50.0,50,24.762568
-50.0,50,25.301838
-50.0,50,25.865933
-50.0,50,26.395799
-50.0,50,26.930997
-50.0,50,27.462669
-50.0,50,28.009407
-50.0,50,28.544348
-50.0,50,29.083766
-50.0,50,29.628448
-50.0,50,30.174722
-50.0,50,30.718662
-50.0,50,31.255972
-50.0,50,31.792512
0.0,50,32.336214
-50.0,50,32.886529
-50.0,50,33.439038
-50.0,50,34.002585
-50.0,50,34.584553
-50.0,50,35.127349
-50.0,50,35.672369
-40.0,50,36.205261
-50.0,50,36.767166
-50.0,50,37.314238
-50.0,50,37.862223
-50.0,50,38.400943
-50.0,50,38.951254
-50.0,50,39.503702
-50.0,50,40.074159
-50.0,50,40.651988
-50.0,50,41.20176
-50.0,50,41.762283
-50.0,50,42.302893
-50.0,50,42.852065
-50.0,50,43.40776
-50.0,50,43.979559
-50.0,50,44.533255
-50.0,50,45.078161
-50.0,50,45.628616
-50.0,50,46.174903
-50.0,50,46.721344
-50.0,50,47.275659
-50.0,50,47.845756
-50.0,50,48.41054
-50.0,50,48.967318
-50.0,50,49.527571
0.0,50,50.086089
-50.0,50,50.657026
-50.0,50,51.208059
-50.0,50,51.780405
-50.0,50,52.348192
0.0,50,52.898366
0.0,50,53.453337
-50.0,50,53.994755
-50.0,50,54.569672
-50.0,50,55.154827
-50.0,50,55.710682
-50.0,50,56.244513
-50.0,50,56.778626
-50.0,50,57.322004
-50.0,50,57.897512
-50.0,50,58.434738
-50.0,50,58.974561
-50.0,50,59.516212
-50.0,50,60.092332
-50.0,50,60.660242
-50.0,50,61.189258
-50.0,50,61.727298
-50.0,50,62.293255
-50.0,50,62.851722
-50.0,50,63.415285
-50.0,50,63.965386
-50.0,50,64.500953
-50.0,50,65.056475
-50.0,50,65.610104
-50.0,50,66.17272
-50.0,50,66.743459
-50.0,50,67.334815
-50.0,50,67.874548
-50.0,50,68.437845
-50.0,50,69.012015
-50.0,50,69.574657
-50.0,50,70.153948
0.0,50,70.705919
-50.0,50,71.253044
-50.0,50,71.819739
-50.0,50,72.404209
-50.0,50,72.959901
0.0,50,73.523705
0.0,50,74.064614
-50.0,50,74.620062
-50.0,50,75.159889
-50.0,50,75.714966
-50.0,50,76.260611
-50.0,50,76.820992
-50.0,50,77.402757
-50.0,50,77.98598
-50.0,50,78.534857
-50.0,50,79.099144
-50.0,50,79.646527
-50.0,50,80.239761
-50.0,50,80.809437
-50.0,50,81.374236
-50.0,50,81.923681
-50.0,50,82.479219
-50.0,50,83.041649
-50.0,50,83.602118
-50.0,50,84.142921
-50.0,50,84.74813
-50.0,50,85.331928
-50.0,50,85.928378
0.0,50,86.492839
