#{"t_start": 1624745651.040041, "env_id": "PandaReach-v1"}
r,l,t
-50.0,50,1.940892
-50.0,50,2.015513
-50.0,50,2.084878
-50.0,50,2.164521
-50.0,50,2.234113
-50.0,50,2.303243
-50.0,50,2.374104
-50.0,50,2.445546
-50.0,50,2.519807
-50.0,50,2.588312
-45.0,50,2.660331
-50.0,50,2.731832
-50.0,50,2.804484
-50.0,50,2.871608
-50.0,50,2.941237
-50.0,50,3.01314
-50.0,50,3.088192
-50.0,50,3.161161
-50.0,50,3.243205
-50.0,50,3.312399
-49.0,50,4.36374
-50.0,50,5.421027
-50.0,50,6.493795
-50.0,50,7.563168
-50.0,50,8.627057
-50.0,50,9.688113
-49.0,50,10.757364
-46.0,50,11.822719
-41.0,50,12.891564
-49.0,50,13.949704
-50.0,50,15.002589
-50.0,50,16.062306
-50.0,50,17.131555
-50.0,50,18.199995
-49.0,50,19.26793
-48.0,50,20.336978
-50.0,50,21.4008
-47.0,50,22.474435
-50.0,50,23.553082
-50.0,50,24.613722
-50.0,50,25.670291
-50.0,50,26.726453
-50.0,50,27.982937
-50.0,50,29.328741
-50.0,50,30.67641
-50.0,50,31.991981
-50.0,50,33.336887
-48.0,50,34.678294
-50.0,50,36.021188
-50.0,50,37.360673
-50.0,50,38.691252
-42.0,50,40.02117
-50.0,50,41.374247
-50.0,50,42.725897
-50.0,50,44.065107
-50.0,50,45.3967
-48.0,50,46.736179
-50.0,50,48.079527
-50.0,50,49.425134
-44.0,50,50.769233
-50.0,50,52.09767
-50.0,50,53.442026
-49.0,50,54.813639
-50.0,50,56.149458
-50.0,50,57.490929
-50.0,50,58.827633
-50.0,50,60.171514
-50.0,50,61.478482
-50.0,50,62.802439
-42.0,50,64.13243
-47.0,50,65.478287
-50.0,50,66.825053
-50.0,50,68.155715
-48.0,50,69.501064
-50.0,50,70.839959
-33.0,50,72.174467
-50.0,50,73.522135
-37.0,50,74.867331
-44.0,50,76.183817
-50.0,50,77.526412
-47.0,50,78.859139
-50.0,50,80.201807
-50.0,50,81.519936
-47.0,50,82.873963
-34.0,50,84.221971
-41.0,50,85.553232
-3.0,50,86.88804
-13.0,50,88.233643
-32.0,50,89.576421
-24.0,50,90.92157
-5.0,50,92.261386
-12.0,50,93.601837
-21.0,50,94.955267
-24.0,50,96.28493
-46.0,50,97.615124
-12.0,50,98.946611
-47.0,50,100.268336
-31.0,50,101.589378
-10.0,50,102.918438
-12.0,50,104.263992
-6.0,50,105.600328
