#{"t_start": 1624745675.836131, "env_id": "PandaSlide-v1"}
r,l,t
-50.0,50,2.038432
-50.0,50,2.098967
-50.0,50,3.409582
-50.0,50,4.750877
-50.0,50,6.091369
-50.0,50,7.441809
-50.0,50,8.783441
-50.0,50,10.12523
-50.0,50,11.483073
-50.0,50,12.837673
-50.0,50,14.18671
-50.0,50,15.521201
-50.0,50,16.869194
-50.0,50,18.212627
-50.0,50,19.57417
-50.0,50,20.925275
-50.0,50,22.264711
-50.0,50,23.616693
-50.0,50,24.967889
-50.0,50,26.317087
-50.0,50,27.67711
-50.0,50,29.021253
-50.0,50,30.372198
-50.0,50,31.712352
-50.0,50,33.072266
-50.0,50,34.433463
-50.0,50,35.804379
-50.0,50,37.147499
-50.0,50,38.490439
-50.0,50,39.848323
-50.0,50,41.192035
-50.0,50,42.556124
-50.0,50,43.913241
-50.0,50,45.276605
-50.0,50,46.644376
-50.0,50,47.98713
-50.0,50,49.332451
-50.0,50,50.671008
-50.0,50,52.005392
-50.0,50,53.33033
-50.0,50,54.670274
-50.0,50,55.987301
-50.0,50,57.307434
-50.0,50,58.635472
-50.0,50,59.960289
-50.0,50,61.293376
-50.0,50,62.629446
-50.0,50,63.966591
-50.0,50,65.306737
-50.0,50,66.65191
-50.0,50,67.989831
-50.0,50,69.333149
-50.0,50,70.668834
-50.0,50,71.998674
-50.0,50,73.325696
-50.0,50,74.665148
-50.0,50,76.010672
-50.0,50,77.353156
-50.0,50,78.682015
-50.0,50,80.023746
-50.0,50,81.366658
-50.0,50,82.722035
-50.0,50,84.07157
-50.0,50,85.421254
-50.0,50,86.774128
-50.0,50,88.121843
-50.0,50,89.453928
-50.0,50,90.781723
-50.0,50,92.113919
-50.0,50,93.433916
-50.0,50,94.76536
-50.0,50,96.104249
-50.0,50,97.437248
-50.0,50,98.776739
-50.0,50,100.118473
-50.0,50,101.463386
-50.0,50,102.800984
-50.0,50,104.143012
-50.0,50,105.485267
-50.0,50,106.829167
-50.0,50,108.177228
-50.0,50,109.513992
-50.0,50,110.853165
-50.0,50,112.197396
-50.0,50,113.534602
-50.0,50,114.872577
-50.0,50,116.221554
-50.0,50,117.561204
-50.0,50,118.904181
-50.0,50,120.272388
-50.0,50,121.599159
-50.0,50,122.935803
-50.0,50,124.284068
-50.0,50,125.641991
-50.0,50,126.991945
-50.0,50,128.337558
-50.0,50,129.694062
-50.0,50,131.037329
-50.0,50,132.390034
-50.0,50,133.738836
-50.0,50,135.079246
-50.0,50,136.435063
-50.0,50,137.7811
-50.0,50,139.1251
-50.0,50,140.472964
-50.0,50,141.813993
-50.0,50,143.162152
-48.0,50,144.505998
-50.0,50,145.847223
-50.0,50,147.196284
-50.0,50,148.542135
-50.0,50,149.894779
-50.0,50,151.237332
-50.0,50,152.58561
-50.0,50,153.927103
-50.0,50,155.255936
-50.0,50,156.602818
-50.0,50,157.94667
-50.0,50,159.295972
-50.0,50,160.645015
-50.0,50,161.976828
-50.0,50,163.312038
-50.0,50,164.636597
-50.0,50,165.957269
-48.0,50,167.315548
-50.0,50,168.680751
-50.0,50,170.024823
-50.0,50,171.371027
-50.0,50,172.711629
-50.0,50,173.878908
-50.0,50,175.112783
-50.0,50,176.45605
-50.0,50,177.799657
-50.0,50,179.151426
-50.0,50,180.507041
-50.0,50,181.770383
-50.0,50,182.948
-50.0,50,184.294746
-50.0,50,185.625083
-50.0,50,186.972706
-50.0,50,188.329338
-50.0,50,189.671912
-50.0,50,191.009441
-50.0,50,192.341589
-50.0,50,193.683735
-50.0,50,195.028657
-50.0,50,196.382514
-50.0,50,197.726625
-50.0,50,199.091461
-50.0,50,200.43479
-50.0,50,201.788229
-50.0,50,203.146009
-50.0,50,204.495632
-50.0,50,205.836322
-50.0,50,207.176025
-48.0,50,208.534204
-50.0,50,209.899379
-50.0,50,211.279662
-50.0,50,212.624516
-50.0,50,213.742832
-50.0,50,214.874554
-50.0,50,216.024038
-50.0,50,217.360288
-50.0,50,218.726248
-47.0,50,220.082301
-50.0,50,221.430615
-50.0,50,222.769207
-49.0,50,224.133164
-50.0,50,225.488899
-50.0,50,226.831404
-46.0,50,228.171339
-50.0,50,229.514272
-50.0,50,230.852243
-50.0,50,232.190704
-50.0,50,233.54222
-50.0,50,234.899308
-50.0,50,236.244359
-50.0,50,237.59281
-50.0,50,238.939999
-50.0,50,240.290427
-50.0,50,241.627226
-50.0,50,242.961356
-50.0,50,244.295098
-50.0,50,245.637098
-50.0,50,246.978263
-50.0,50,248.313757
-46.0,50,249.649234
-50.0,50,250.988029
-50.0,50,252.321591
-50.0,50,253.673086
-50.0,50,255.027667
-50.0,50,256.362135
-50.0,50,257.697714
-50.0,50,259.04954
-50.0,50,260.385617
-48.0,50,261.727906
-50.0,50,263.056607
-50.0,50,264.392598
-50.0,50,265.728331
-50.0,50,267.066373
-50.0,50,269.849518
-50.0,50,271.186888
-50.0,50,272.530089
-50.0,50,273.881607
-50.0,50,275.216561
-50.0,50,276.566391
-50.0,50,277.903175
-50.0,50,279.259615
-50.0,50,280.605773
-50.0,50,281.943493
