#{"t_start": 1624745633.7732885, "env_id": "PandaStack-v1"}
r,l,t
-5.0,100,1.875278
-100.0,100,3.840586
-100.0,100,5.808269
-100.0,100,7.775132
-100.0,100,9.759762
-100.0,100,11.777493
-100.0,100,13.800537
-100.0,100,15.800614
-100.0,100,17.776485
-100.0,100,19.775057
0.0,100,21.865242
-100.0,100,24.008672
-100.0,100,26.1558
-100.0,100,28.298126
-100.0,100,30.437651
-100.0,100,32.596792
-100.0,100,34.737467
-100.0,100,36.879592
-100.0,100,39.023639
-100.0,100,41.162711
-100.0,100,43.350912
-100.0,100,45.805469
-100.0,100,48.480147
-100.0,100,51.154363
-100.0,100,53.859732
-100.0,100,56.534225
-100.0,100,59.237577
-100.0,100,61.927863
-100.0,100,64.593149
-100.0,100,67.285935
-100.0,100,69.969332
-100.0,100,72.645901
-100.0,100,75.323286
-100.0,100,77.987154
-100.0,100,80.687054
-100.0,100,83.376999
-100.0,100,86.067526
-100.0,100,88.747301
-100.0,100,91.435373
-100.0,100,94.153549
-100.0,100,96.859266
-100.0,100,99.544506
-100.0,100,102.242053
-100.0,100,104.93812
-100.0,100,107.65246
-100.0,100,110.351379
0.0,100,113.02425
-100.0,100,115.717754
-100.0,100,118.426115
-98.0,100,121.143448
-100.0,100,123.805741
-100.0,100,126.470322
-100.0,100,129.161004
-100.0,100,131.852892
-100.0,100,134.503
-100.0,100,137.164217
-100.0,100,139.832572
-100.0,100,142.519335
-100.0,100,145.198277
0.0,100,147.884097
-100.0,100,150.524088
-100.0,100,153.201374
-100.0,100,155.88062
-100.0,100,158.545926
-100.0,100,161.215055
-100.0,100,163.859386
-100.0,100,166.548465
-100.0,100,169.244352
-100.0,100,171.929765
-100.0,100,174.62145
-100.0,100,177.329691
-100.0,100,180.018546
-100.0,100,182.708466
-100.0,100,185.396891
-100.0,100,188.085867
-100.0,100,190.781439
-100.0,100,193.474997
-100.0,100,196.195258
-100.0,100,198.881946
-100.0,100,201.558546
-100.0,100,204.241208
-100.0,100,206.902174
-100.0,100,209.61582
-100.0,100,212.290984
-100.0,100,215.001976
-100.0,100,217.453539
-100.0,100,220.15782
-100.0,100,222.888061
0.0,100,225.343382
0.0,100,228.039864
-100.0,100,230.727819
-100.0,100,233.41976
-100.0,100,236.137722
-100.0,100,238.837586
-100.0,100,241.516371
-100.0,100,244.204415
-100.0,100,246.907706
-100.0,100,249.603238
-100.0,100,252.245891
-100.0,100,254.948853
-96.0,100,260.629071
-100.0,100,263.310705
-100.0,100,265.991391
-100.0,100,268.693325
-100.0,100,271.403394
-100.0,100,274.081219
-100.0,100,276.761983
-100.0,100,279.428846
-100.0,100,282.126307
-100.0,100,284.803836
-100.0,100,287.4979
